File,Samples,Accuracy,Precision,Recall,F1,Pred_Normal,Pred_Anomaly
KDD99_anomaly.csv,151658,0.9756030014901951,0.9895434883637794,0.9776604386677498,0.9835660732686636,39766,111892
KDD99_anomaly_0.csv,40609,0.9230958654485459,0.176056338028169,0.11348161597821153,0.1380071763731714,39189,1420
KDD99_anomaly_1.csv,38436,0.9694036840462067,0.020100502512562814,0.8,0.0392156862745098,37242,1194
KDD99_anomaly_10.csv,38509,0.9696174920148537,0.08091123330714847,1.0,0.14970930232558138,37236,1273
KDD99_anomaly_11.csv,38409,0.9695383894399751,0.0025575447570332483,1.0,0.00510204081632653,37236,1173
KDD99_anomaly_12.csv,38410,0.9695391825045561,0.0034071550255536627,1.0,0.006791171477079796,37236,1174
KDD99_anomaly_13.csv,39445,0.9703384459373812,0.4703485740153916,1.0,0.6397783251231527,37236,2209
KDD99_anomaly_14.csv,38413,0.9695155285970896,0.00510204081632653,0.8571428571428571,0.01014370245139476,37237,1176
KDD99_anomaly_15.csv,39822,0.9705941439405353,0.5473887814313346,0.9992937853107344,0.7073231692076981,37237,2585
KDD99_anomaly_16.csv,38408,0.9695375963340971,0.0017064846416382253,1.0,0.0034071550255536627,37236,1172
KDD99_anomaly_17.csv,39426,0.9560188707959215,0.28044280442804426,0.4470588235294118,0.34467120181405897,37800,1626
KDD99_anomaly_18.csv,38426,0.9694998178316765,0.015151515151515152,0.9,0.029801324503311258,37238,1188
KDD99_anomaly_2.csv,38414,0.9695163221742074,0.00594732370433305,0.875,0.01181434599156118,37237,1177
KDD99_anomaly_3.csv,38459,0.9695779921474817,0.04333605887162715,1.0,0.08307210031347963,37236,1223
KDD99_anomaly_4.csv,38418,0.9695455255349055,0.01015228426395939,1.0,0.020100502512562814,37236,1182
KDD99_anomaly_5.csv,38500,0.9696103896103896,0.07436708860759493,1.0,0.13843888070692195,37236,1264
KDD99_anomaly_6.csv,38427,0.9695526582871419,0.017632241813602016,1.0,0.034653465346534656,37236,1191
KDD99_anomaly_7.csv,38415,0.9695431472081218,0.007633587786259542,1.0,0.015151515151515152,37236,1179
KDD99_anomaly_8.csv,38413,0.9694894957436284,0.00425531914893617,0.7142857142857143,0.008460236886632826,37238,1175
KDD99_anomaly_9.csv,145607,0.9919646720281305,0.9892037537717655,1.0,0.9945725789991279,37236,108371
