File,Samples,Accuracy,Precision,Recall,F1,Pred_Normal,Pred_Anomaly
KDD99_anomaly.csv,151658,0.9758865341755792,0.9929561626829554,0.9746229647158549,0.9837041526114797,40497,111161
KDD99_anomaly_0.csv,40609,0.9301386392179074,0.15987124463519314,0.06763504312301408,0.09505582137161085,39677,932
KDD99_anomaly_1.csv,38436,0.9794723696534499,0.02973977695167286,0.8,0.05734767025089606,37629,807
KDD99_anomaly_10.csv,38509,0.9796670908099405,0.1162528216704289,1.0,0.2082912032355915,37623,886
KDD99_anomaly_11.csv,38409,0.9796141529329063,0.003816793893129771,1.0,0.0076045627376425855,37623,786
KDD99_anomaly_12.csv,38410,0.979614683676126,0.005082592121982211,1.0,0.010113780025284451,37623,787
KDD99_anomaly_13.csv,39445,0.9801495753580935,0.5702524698133918,1.0,0.7263194687172317,37623,1822
KDD99_anomaly_14.csv,38413,0.9795902428865227,0.0076045627376425855,0.8571428571428571,0.01507537688442211,37624,789
KDD99_anomaly_15.csv,39822,0.9802872783888303,0.6436049157942649,0.998587570621469,0.782729034043731,37625,2197
KDD99_anomaly_16.csv,38408,0.9796136221620496,0.0025477707006369425,1.0,0.005082592121982211,37623,785
KDD99_anomaly_17.csv,39426,0.9598488307208441,0.2193419740777667,0.21568627450980393,0.21749876421156697,38423,1003
KDD99_anomaly_18.csv,38426,0.979545099672097,0.02125,0.85,0.041463414634146344,37626,800
KDD99_anomaly_2.csv,38414,0.9795387098453688,0.006345177664974619,0.625,0.01256281407035176,37626,788
KDD99_anomaly_3.csv,38459,0.9796406562833146,0.06339712918660287,1.0,0.11923509561304838,37623,836
KDD99_anomaly_4.csv,38418,0.979618928627206,0.01509433962264151,1.0,0.02973977695167286,37623,795
KDD99_anomaly_5.csv,38500,0.9796623376623377,0.10718358038768529,1.0,0.19361483007209063,37623,877
KDD99_anomaly_6.csv,38427,0.9796237020844718,0.026119402985074626,1.0,0.05090909090909091,37623,804
KDD99_anomaly_7.csv,38415,0.9796173369777431,0.011363636363636364,1.0,0.02247191011235955,37623,792
KDD99_anomaly_8.csv,38413,0.9794861114726785,0.0025477707006369425,0.2857142857142857,0.005050505050505051,37628,785
KDD99_anomaly_9.csv,145607,0.9946225112803643,0.9927489257667803,1.0,0.9963612705346562,37623,107984
